Successful connection to PostgreSQL/tweets
2022-10-02T18:35Z;0:2;0:2
2022-10-02T18:35Z;0:5;0:2
2022-10-02T18:35Z;0:7;0:2
2022-10-02T18:35Z;0:10;0:2
2022-10-02T18:35Z;0:12;0:2
2022-10-02T18:35Z;0:15;0:2
2022-10-02T18:35Z;0:18;0:2
2022-10-02T18:36Z;0:20;0:2
2022-10-02T18:36Z;0:23;0:2
2022-10-02T18:36Z;0:26;0:2
2022-10-02T18:36Z;0:29;0:2
2022-10-02T18:36Z;0:31;0:2
2022-10-02T18:36Z;0:34;0:2
2022-10-02T18:36Z;0:37;0:2
2022-10-02T18:36Z;0:40;0:2
2022-10-02T18:36Z;0:43;0:2
2022-10-02T18:36Z;0:46;0:2
2022-10-02T18:36Z;0:49;0:2
2022-10-02T18:36Z;0:51;0:2
2022-10-02T18:36Z;0:54;0:2
2022-10-02T18:36Z;0:57;0:2
2022-10-02T18:36Z;1:0;0:2
2022-10-02T18:36Z;1:3;0:2
2022-10-02T18:36Z;1:6;0:2
2022-10-02T18:37Z;1:9;0:2
2022-10-02T18:37Z;1:12;0:2
2022-10-02T18:37Z;1:14;0:2
2022-10-02T18:37Z;1:17;0:2
2022-10-02T18:37Z;1:20;0:2
2022-10-02T18:37Z;1:23;0:2
2022-10-02T18:37Z;1:25;0:2
2022-10-02T18:37Z;1:28;0:2
2022-10-02T18:37Z;1:31;0:2
2022-10-02T18:37Z;1:34;0:2
2022-10-02T18:37Z;1:36;0:2
2022-10-02T18:37Z;1:39;0:2
2022-10-02T18:37Z;1:42;0:2
2022-10-02T18:37Z;1:45;0:2
2022-10-02T18:37Z;1:47;0:2
2022-10-02T18:37Z;1:50;0:2
2022-10-02T18:37Z;1:53;0:2
2022-10-02T18:38Z;1:56;0:2
2022-10-02T18:38Z;1:58;0:2
2022-10-02T18:38Z;2:1;0:2
2022-10-02T18:38Z;2:4;0:2
2022-10-02T18:38Z;2:6;0:2
2022-10-02T18:38Z;2:9;0:2
2022-10-02T18:38Z;2:12;0:2
2022-10-02T18:38Z;2:15;0:2
2022-10-02T18:38Z;2:17;0:2
2022-10-02T18:38Z;2:20;0:2
2022-10-02T18:38Z;2:23;0:2
2022-10-02T18:38Z;2:26;0:2
2022-10-02T18:38Z;2:29;0:2
2022-10-02T18:38Z;2:32;0:2
2022-10-02T18:38Z;2:35;0:2
2022-10-02T18:38Z;2:38;0:2
2022-10-02T18:38Z;2:41;0:2
2022-10-02T18:39Z;2:43;0:2
2022-10-02T18:39Z;2:46;0:2
2022-10-02T18:39Z;2:49;0:2
2022-10-02T18:39Z;2:52;0:2
2022-10-02T18:39Z;2:55;0:2
2022-10-02T18:39Z;2:57;0:2
2022-10-02T18:39Z;3:0;0:2
2022-10-02T18:39Z;3:3;0:2
2022-10-02T18:39Z;3:6;0:2
2022-10-02T18:39Z;3:9;0:2
2022-10-02T18:39Z;3:12;0:2
2022-10-02T18:39Z;3:14;0:2
2022-10-02T18:39Z;3:17;0:2
2022-10-02T18:39Z;3:20;0:2
2022-10-02T18:39Z;3:23;0:2
2022-10-02T18:39Z;3:26;0:2
2022-10-02T18:39Z;3:29;0:2
2022-10-02T18:40Z;3:32;0:2
2022-10-02T18:40Z;3:35;0:2
2022-10-02T18:40Z;3:38;0:2
2022-10-02T18:40Z;3:40;0:2
2022-10-02T18:40Z;3:43;0:2
2022-10-02T18:40Z;3:46;0:2
2022-10-02T18:40Z;3:49;0:2
2022-10-02T18:40Z;3:51;0:2
2022-10-02T18:40Z;3:54;0:2
2022-10-02T18:40Z;3:57;0:2
2022-10-02T18:40Z;4:0;0:2
2022-10-02T18:40Z;4:3;0:2
2022-10-02T18:40Z;4:6;0:2
2022-10-02T18:40Z;4:9;0:2
2022-10-02T18:40Z;4:11;0:2
2022-10-02T18:40Z;4:14;0:2
2022-10-02T18:40Z;4:17;0:2
2022-10-02T18:41Z;4:20;0:2
2022-10-02T18:41Z;4:23;0:2
2022-10-02T18:41Z;4:25;0:2
2022-10-02T18:41Z;4:28;0:2
2022-10-02T18:41Z;4:31;0:2
2022-10-02T18:41Z;4:34;0:2
2022-10-02T18:41Z;4:37;0:2
2022-10-02T18:41Z;4:40;0:2
2022-10-02T18:41Z;4:43;0:2
2022-10-02T18:41Z;4:45;0:2
2022-10-02T18:41Z;4:49;0:3
2022-10-02T18:41Z;4:52;0:2
